Version,Year,Airport,Lagoon,LDSBC,Westmin,UofU_Main,UofU_Med,WSU_Ogden,WSU_Davis,WSU_West,SLCC_TL,SLCC_SC,SLCC_JD,SLCC_Mead,SLCC_ML,SLCC_LB,SLCC_HL,SLCC_Airp,SLCC_West,SLCC_HM,BYU,UVU_main,UVU_Geneva,UVU_ThankP,UVU_VINE,UVU_PAYSON
v832,2010,26389,6424,2000,3200,26897,4746,19352,4409,735,18914,6394,7160,268,2718,1187,1072,200,421,0,32947,31340,0,399,0,0
v832,2011,25743,6505,2100,3208,27814,4908,20742,4726,788,18170,6143,6878,257,2612,1140,1030,220,405,0,32973,32334,0,400,0,0
v832,2012,25380,6595,2200,3215,28297,4994,21248,5232,901,17687,5979,6695,251,2542,1110,1003,240,394,0,33000,31403,0,407,0,0
v832,2013,25486,6702,2308,3223,30792,5434,20576,4560,751,17311,5852,6553,245,2488,1086,981,260,385,0,33026,30466,0,414,0,0
v832,2014,26692,6792,2416,3230,27203,4800,21038,5022,854,16525,5586,6255,234,2375,1037,937,280,368,0,33052,31168,0,421,0,0
v832,2015,27954,6898,2524,3238,27332,4823,20740,4724,788,15379,5199,5821,218,2210,965,872,300,342,0,33079,32457,680,428,0,0
v832,2016,29235,7034,2632,3245,27583,4868,21183,5167,886,15874,5366,6009,225,2281,996,900,320,353,0,33105,33992,699,435,0,0
v832,2017,30553,7168,2739,3253,28180,4973,21697,5681,1000,15945,5390,6036,226,2292,1001,904,340,355,0,33131,36625,718,442,0,0
v832,2018,32263,7300,2847,3260,29110,5137,22755,6739,1235,16295,5508,6168,231,2342,1023,924,360,363,0,33158,36557,737,448,0,0
v832,2019,32700,7434,2955,3268,29959,5287,23382,7366,1375,16627,5621,6294,236,2390,1043,942,380,370,0,33184,37931,755,455,0,0
v832,2020,33142,7566,3063,3275,30666,5412,24004,7988,1513,16968,5736,6423,240,2439,1065,962,400,378,0,33210,39358,774,462,0,0
v832,2021,33590,7717,3171,3283,30990,5469,24610,8594,1648,17316,5854,6555,245,2489,1087,981,420,386,0,33237,40618,793,469,0,0
v832,2022,34044,7872,3279,3290,31237,5512,25194,9178,1777,17665,5972,6687,250,2539,1109,1001,440,393,0,33263,42059,812,476,0,0
v832,2023,34504,8029,3387,3298,31499,5559,25754,9738,1902,18015,6090,6820,255,2589,1131,1021,460,401,0,33289,43356,831,483,200,0
v832,2024,34970,8190,3495,3305,31885,5627,26291,10275,2021,18361,6207,6950,260,2639,1152,1041,480,409,400,33316,44856,850,490,255,0
v832,2025,35443,8354,3603,3313,32364,5711,26809,10793,2136,18707,6324,7082,265,2689,1174,1060,500,417,624,33342,46416,869,497,309,0
v832,2026,35922,8476,3711,3320,32840,5795,27266,11250,2238,19050,6440,7211,270,2738,1195,1080,520,424,848,33368,48040,887,504,364,0
v832,2027,36408,8600,3818,3328,33274,5872,27308,11292,2247,19603,6627,7420,278,2817,1230,1111,540,436,1072,33395,48648,906,511,419,0
v832,2028,36900,8725,3926,3335,33667,5941,27350,11334,2256,20155,6814,7630,286,2897,1265,1142,560,449,1296,33421,49257,925,518,473,0
v832,2029,37399,8852,4034,3343,34018,6003,27392,11376,2266,20707,7000,7839,293,2976,1299,1174,580,461,1520,33447,49865,944,525,528,0
v832,2030,37904,8981,4142,3350,34327,6058,27434,11418,2275,21260,7187,8048,301,3056,1334,1205,600,473,1744,33474,50473,963,532,582,0
v832,2031,38417,9112,4250,3358,34595,6105,27476,11460,2285,21812,7374,8257,309,3135,1369,1236,620,486,1968,33500,51083,982,538,637,0
v832,2032,38936,9245,4358,3365,34821,6145,27518,11502,2294,22365,7561,8466,317,3214,1403,1268,640,498,2192,33526,51691,1001,545,692,0
v832,2033,39462,9380,4466,3373,35006,6177,27561,11545,2303,22917,7747,8675,325,3294,1438,1299,660,510,2416,33552,52000,1019,552,746,300
v832,2034,39996,9517,4574,3380,35148,6203,27603,11587,2313,23469,7934,8884,333,3373,1473,1330,680,523,2640,33579,52528,1038,559,801,381
v832,2035,40537,9656,4682,3388,35278,6226,27645,11629,2322,24022,8121,9093,340,3453,1507,1362,700,535,2864,33605,53055,1057,566,856,462
v832,2036,41085,9779,4789,3395,35396,6246,27687,11671,2331,24574,8307,9302,348,3532,1542,1393,720,547,3088,33631,53583,1076,573,910,543
v832,2037,41640,9905,4897,3403,35500,6265,27729,11713,2341,25127,8494,9512,356,3611,1577,1424,740,560,3312,33658,54110,1095,580,965,624
v832,2038,42203,10031,5005,3410,35592,6281,27771,11755,2350,25679,8681,9721,364,3691,1611,1455,760,572,3536,33684,54638,1114,587,1019,704
v832,2039,42773,10160,5113,3418,35671,6295,27813,11797,2359,26232,8868,9930,372,3770,1646,1487,780,584,3760,33710,55165,1133,594,1074,785
v832,2040,43352,10290,5221,3425,35737,6307,27855,11839,2369,26784,9054,10139,380,3850,1681,1518,800,596,3984,33737,55694,1151,601,1129,866
v832,2041,43938,10422,5329,3433,35791,6316,27898,11882,2378,27336,9241,10348,387,3929,1715,1549,820,609,4208,33763,56221,1170,608,1183,947
